date,name,ath_country,value
1989-12-16,Pirmin Zurbriggen,CH,25
1989-12-16,Lasse Arnesen,NO,0
1989-12-16,Bernard Fahner,CH,11
1989-12-16,Urs Lehmann,CH,0
1989-12-16,Hannes Zehentner,DE,0
1989-12-16,Felix Belczyk,CA,0
1989-12-16,Luigi Colturi,IT,0
1989-12-16,Christophe Fivel,FR,0
1989-12-16,Alexej Maslov,RU,0
1989-12-16,Bill Hudson,US,0
1989-12-16,Erwin Resch,AT,0
1989-12-16,Helmut Hoeflehner,AT,10
1989-12-16,Roman Rupp,AT,0
1989-12-16,Atle Skaardal,NO,0
1989-12-16,Danilo Sbardellotto,IT,0
1989-12-16,Berni Huber,DE,0
1989-12-16,Markus Wasmeier,DE,0
1989-12-16,Peter Rzehak,AT,0
1989-12-16,Stefan Krauss,DE,0
1989-12-16,Denis Rey,FR,0
1989-12-16,Peter Wirnsberger,AT,9
1989-12-16,Frank Piccard,FR,0
1989-12-16,Hans-Joerg Tauscher,DE,1
1989-12-16,Peter Runggaldier,IT,2
1989-12-16,Pietro Vitalini,IT,3
1989-12-16,Rob Boyd,CA,4
1989-12-16,Patrick Ortlieb,AT,8
1989-12-16,Daniel Mahrer,CH,5
1989-12-16,Xavier Gigandet,CH,6
1989-12-16,Mario Summermatter,CH,0
1989-12-16,Leonhard Stock,AT,0
1989-12-16,A.J. Kitt,US,0
1989-12-16,Niklas Henning,SE,0
1989-12-16,Franz Heinzer,CH,20
1989-12-16,Ronald Duncan,GB,0
1989-12-16,Kristian Ghedina,IT,15
1989-12-16,Karl Alpiger,CH,7
1989-12-16,Lars Boerje Eriksson,SE,0
1989-12-16,Tommy Moe,US,0
1989-12-16,William Besse,CH,12
1990-01-11,Urs Lehmann,CH,0
1990-01-11,Patrick Ortlieb,AT,9
1990-01-11,A.J. Kitt,US,0
1990-01-11,Peter Runggaldier,IT,4
1990-01-11,Lasse Arnesen,NO,0
1990-01-11,Berni Huber,DE,3
1990-01-11,Franz Heinzer,CH,20
1990-01-11,Niklas Henning,SE,0
1990-01-11,Mario Summermatter,CH,5
1990-01-11,William Besse,CH,17
1990-01-11,Lars Boerje Eriksson,SE,0
1990-01-11,Hans-Joerg Tauscher,DE,7
1990-01-11,Tommy Moe,US,0
1990-01-11,Ronald Duncan,GB,0
1990-01-11,Leonhard Stock,AT,0
1990-01-11,Hannes Zehentner,DE,0
1990-01-11,Christophe Fivel,FR,0
1990-01-11,Alexej Maslov,RU,0
1990-01-11,Bill Hudson,US,0
1990-01-11,Erwin Resch,AT,0
1990-01-11,Roman Rupp,AT,0
1990-01-11,Atle Skaardal,NO,0
1990-01-11,Markus Wasmeier,DE,7
1990-01-11,Pietro Vitalini,IT,3
1990-01-11,Rob Boyd,CA,4
1990-01-11,Xavier Gigandet,CH,6
1990-01-11,Karl Alpiger,CH,7
1990-01-11,Peter Wirnsberger,AT,9
1990-01-11,Bernard Fahner,CH,11
1990-01-11,Felix Belczyk,CA,0
1990-01-11,Luigi Colturi,IT,0
1990-01-11,Danilo Sbardellotto,IT,0
1990-01-11,Kristian Ghedina,IT,35
1990-01-11,Frank Piccard,FR,25
1990-01-11,Pirmin Zurbriggen,CH,34
1990-01-11,Daniel Mahrer,CH,20
1990-01-11,Denis Rey,FR,12
1990-01-11,Peter Rzehak,AT,8
1990-01-11,Stefan Krauss,DE,10
1990-01-11,Helmut Hoeflehner,AT,21
1990-01-20,Felix Belczyk,CA,0
1990-01-20,Luigi Colturi,IT,0
1990-01-20,Urs Lehmann,CH,0
1990-01-20,Hans-Joerg Tauscher,DE,7
1990-01-20,Christophe Fivel,FR,0
1990-01-20,Berni Huber,DE,3
1990-01-20,Markus Wasmeier,DE,7
1990-01-20,Peter Rzehak,AT,8
1990-01-20,Stefan Krauss,DE,10
1990-01-20,Denis Rey,FR,12
1990-01-20,Frank Piccard,FR,27
1990-01-20,Hannes Zehentner,DE,0
1990-01-20,Leonhard Stock,AT,0
1990-01-20,Karl Alpiger,CH,7
1990-01-20,Rob Boyd,CA,4
1990-01-20,Xavier Gigandet,CH,6
1990-01-20,Patrick Ortlieb,AT,20
1990-01-20,Bernard Fahner,CH,20
1990-01-20,Alexej Maslov,RU,1
1990-01-20,Peter Wirnsberger,AT,9
1990-01-20,Kristian Ghedina,IT,35
1990-01-20,Atle Skaardal,NO,25
1990-01-20,Helmut Hoeflehner,AT,41
1990-01-20,Pirmin Zurbriggen,CH,49
1990-01-20,Roman Rupp,AT,10
1990-01-20,William Besse,CH,29
1990-01-20,Pietro Vitalini,IT,3
1990-01-20,A.J. Kitt,US,0
1990-01-20,Bill Hudson,US,3
1990-01-20,Danilo Sbardellotto,IT,0
1990-01-20,Lasse Arnesen,NO,0
1990-01-20,Daniel Mahrer,CH,28
1990-01-20,Franz Heinzer,CH,28
1990-01-20,Erwin Resch,AT,5
1990-01-20,Mario Summermatter,CH,9
1990-01-20,Peter Runggaldier,IT,10
1990-01-20,Niklas Henning,SE,0
1990-01-20,Ronald Duncan,GB,0
1990-01-20,Tommy Moe,US,0
1990-01-20,Lars Boerje Eriksson,SE,0
1990-01-27,Alexej Maslov,RU,1
1990-01-27,A.J. Kitt,US,0
1990-01-27,Atle Skaardal,NO,45
1990-01-27,Lasse Arnesen,NO,0
1990-01-27,Danilo Sbardellotto,IT,0
1990-01-27,Christophe Fivel,FR,12
1990-01-27,William Besse,CH,44
1990-01-27,Bill Hudson,US,3
1990-01-27,Ronald Duncan,GB,0
1990-01-27,Niklas Henning,SE,0
1990-01-27,Lars Boerje Eriksson,SE,0
1990-01-27,Tommy Moe,US,0
1990-01-27,Leonhard Stock,AT,0
1990-01-27,Stefan Krauss,DE,10
1990-01-27,Berni Huber,DE,3
1990-01-27,Markus Wasmeier,DE,7
1990-01-27,Peter Rzehak,AT,8
1990-01-27,Denis Rey,FR,12
1990-01-27,Frank Piccard,FR,27
1990-01-27,Hans-Joerg Tauscher,DE,7
1990-01-27,Peter Runggaldier,IT,10
1990-01-27,Pietro Vitalini,IT,3
1990-01-27,Xavier Gigandet,CH,6
1990-01-27,Patrick Ortlieb,AT,20
1990-01-27,Peter Wirnsberger,AT,9
1990-01-27,Kristian Ghedina,IT,35
1990-01-27,Franz Heinzer,CH,28
1990-01-27,Helmut Hoeflehner,AT,66
1990-01-27,Pirmin Zurbriggen,CH,60
1990-01-27,Rob Boyd,CA,4
1990-01-27,Hannes Zehentner,DE,8
1990-01-27,Roman Rupp,AT,16
1990-01-27,Urs Lehmann,CH,1
1990-01-27,Felix Belczyk,CA,9
1990-01-27,Erwin Resch,AT,12
1990-01-27,Mario Summermatter,CH,12
1990-01-27,Daniel Mahrer,CH,33
1990-01-27,Luigi Colturi,IT,10
1990-01-27,Bernard Fahner,CH,23
1990-01-27,Karl Alpiger,CH,11
1990-01-29,Rob Boyd,CA,7
