date,name,ath_country,value
2013-11-16,Mikaela Shiffrin,US,100
2013-11-16,Nathalie Eklund,SE,14
2013-11-16,Ramona Siebenhofer,AT,0
2013-11-16,Madison Irwin,CA,0
2013-11-16,Mikaela Tommy,CA,0
2013-11-16,Katerina Paulathova,CZ,0
2013-11-16,Marina Nigg,LI,0
2013-11-16,Megan McJames,US,0
2013-11-16,Paulina Grassl,SE,0
2013-11-16,Anemone Marmottan,FR,13
2013-11-16,Eva-Maria Brem,AT,0
2013-11-16,Ksenia Alopina,RU,0
2013-11-16,Nicole Agnelli,IT,0
2013-11-16,Federica Brignone,IT,0
2013-11-16,Triin Tobi,EE,0
2013-11-16,Alexandra Daum,AT,12
2013-11-16,Alexandra Tilley,GB,0
2013-11-16,Ylva Staalnacke,SE,0
2013-11-16,Marlies Schild,AT,0
2013-11-16,Helena Prosteva,RU,0
2013-11-16,Mona Loeseth,NO,0
2013-11-16,Rahel Kopp,CH,0
2013-11-16,Ana Bucik,SK,0
2013-11-16,Maria Pietilae-Holmner,SE,11
2013-11-16,Charlotte Guest,GB,0
2013-11-16,Charlotte Techen Lemgart,DK,0
2013-11-16,Eli Plut,SK,0
2013-11-16,Lavinia Chrystal,AU,0
2013-11-16,Charlotta Saefvenberg,SE,18
2013-11-16,Sasa Brezovnik,SK,0
2013-11-16,Ieva Januskeviciute,LT,0
2013-11-16,Carmen Geyr,IT,0
2013-11-16,Barbora Lukacova,SK,0
2013-11-16,Dominique Gisin,CH,0
2013-11-16,Irene Curtoni,IT,0
2013-11-16,Macarena Simari-Birkner,AR,0
2013-11-16,Kathrin Zettel,AT,16
2013-11-16,Susanne Weinbuchner,DE,0
2013-11-16,Sara Hector,SE,0
2013-11-16,Maria Belen Simari-Birkner,AR,0
2013-11-16,Barbara Kantorova,SK,0
2013-11-16,Sabina Majerczyk,PL,0
2013-11-16,Monica Huebner,DE,0
2013-11-16,Veronika Staber,DE,0
2013-11-16,Marina Wallner,DE,15
2013-11-16,Marija Shkanova,BY,0
2013-11-16,Rosina Schneeberger,AT,0
2013-11-16,Adeline Baud,FR,0
2013-11-16,Lara Gut,CH,0
2013-11-16,Michaela Kirchgasser,AT,0
2013-11-16,Lelde Gasuna,LV,0
2013-11-16,Nastasia Noens,FR,6
2013-11-16,Katarina Lavtar,SK,0
2013-11-16,Andrea Filser,DE,0
2013-11-16,Sarah Pardeller,IT,0
2013-11-16,Marusa Ferk,SK,0
2013-11-16,Mireia Gutierrez,AD,0
2013-11-16,Manuela Moelgg,IT,5
2013-11-16,Ricarda Haaser,AT,0
2013-11-16,Resi Stiegler,US,0
2013-11-16,Mizue Hoshi,JP,0
2013-11-16,Jana Gantnerova,SK,0
2013-11-16,Brittany Phelan,CA,0
2013-11-16,Chiara Costazza,IT,4
2013-11-16,Petra Vlhova,SK,0
2013-11-16,Martina Dubovska,CZ,3
2013-11-16,Marta Benzoni,IT,0
2013-11-16,Michelle Gisin,CH,0
2013-11-16,Tanja Poutiainen,FI,0
2013-11-16,Anne Sophie Barthet,FR,0
2013-11-16,Marion Bertrand,FR,0
2013-11-16,Susanne Riesch,DE,0
2013-11-16,Nevena Ignjatovic,RS,0
2013-11-16,Wendy Holdener,CH,0
2013-11-16,Anna Goodman,CA,0
2013-11-16,Magdalena Fjaellstroem,SE,0
2013-11-16,Lisa Blomqvist,SE,0
2013-11-16,Moe Hanaoka,JP,0
2013-11-16,Aleksandra Klus,PL,0
2013-11-16,Emelie Wikstroem,SE,10
2013-11-16,Sandra Holm,FI,0
2013-11-16,Paula Moltzan,US,0
2013-11-16,Emiko Kiyosawa,JP,0
2013-11-16,Emi Hasegawa,JP,0
2013-11-16,Sabrina Fanchini,IT,0
2013-11-16,Karen Persyn,BE,0
2013-11-16,Taina Barioz,FR,9
2013-11-16,Erin Mielzynski,CA,0
2013-11-16,Sandrine Aubert,FR,0
2013-11-16,Bernadette Schild,AT,0
2013-11-16,Carmen Thalmann,AT,0
2013-11-16,Sarka Strachova Zahrobska,CZ,0
2013-11-16,Michela Azzola,IT,0
2013-11-16,Maren Wiesler,DE,8
2013-11-16,Marlene Schmotz,DE,8
2013-11-16,Sofija Novoselic,HR,0
2013-11-16,Merle Soppela,FI,0
2013-11-16,Emma Happonen,FI,0
2013-11-16,Rebecca Buehler,LI,0
2013-11-16,Nadja Vogel,CH,0
2013-11-16,Tessa Worley,FR,0
2013-11-16,Denise Feierabend,CH,26
2013-11-16,Anna Swenn-Larsson,SE,29
2013-11-16,Tina Maze,SK,60
2013-11-16,Elli Terwiel,CA,24
2013-11-16,Marie-Michele Gagnon,CA,45
2013-11-16,Frida Hansdotter,SE,32
2013-11-16,Barbara Wirth,DE,22
2013-11-16,Maria Riesch Hoefl,DE,80
2013-11-16,Christina Ager,AT,50
2013-11-16,Lena Duerr,DE,0
2013-11-16,Christina Geiger,DE,40
2013-11-16,Nicole Hosp,AT,20
2013-11-16,Nina Loeseth,NO,36
2013-12-17,Adeline Baud,FR,0
