date,name,ath_country,value
1996-12-01,Pernilla Wiberg,SE,100
1996-12-01,Sovrana Welf,IT,6
1996-12-01,Madlen Summermatter,CH,7
1996-12-01,Bibiana Perez,IT,8
1996-12-01,Ingeborg H. Marken,NO,9
1996-12-01,Michaela Dorfmeister,AT,10
1996-12-01,Megan Gerety,US,11
1996-12-01,Spela Bracun,SK,12
1996-12-01,Stefanie Schuster,AT,13
1996-12-01,Svetlana Gladishiva,RU,14
1996-12-01,Regine Cavagnoud,FR,16
1996-12-01,Marianne Brechu,FR,16
1996-12-01,Laetitia Dalloz,FR,18
1996-12-01,Isolde Kostner,IT,20
1996-12-01,Barbara Merlin,IT,22
1996-12-01,Alexandra Meissnitzer,AT,24
1996-12-01,Katharina Gutensohn,DE,26
1996-12-01,Miriam Vogt,DE,29
1996-12-01,Alenka Dovzan,SK,4
1996-12-01,Martina Ertl,DE,32
1996-12-01,Mojca Suhadolc,SK,3
1996-12-01,Brigitte Obermoser,AT,1
1996-12-01,Kathleen Monahan,US,0
1996-12-01,Sylviane Berthod,CH,0
1996-12-01,Karen Putzer,IT,0
1996-12-01,Kirsten L Clark,US,0
1996-12-01,Anja Kalan,SK,0
1996-12-01,Patrizia Bassis,IT,0
1996-12-01,Trude Gimle,NO,0
1996-12-01,Merete Fjeldavlie,NO,0
1996-12-01,Eveline Rohregger,AT,0
1996-12-01,Regina Haeusl,DE,0
1996-12-01,Monika Tschirky,CH,0
1996-12-01,Catherine Borghi,CH,0
1996-12-01,Hilary Lindh,US,0
1996-12-01,Shannon Nobis,US,0
1996-12-01,Renate Goetschl,AT,0
1996-12-01,Sibylle Brauner,DE,0
1996-12-01,Carole Montillet,FR,0
1996-12-01,Alessandra Merlin,IT,2
1996-12-01,Heidi Zurbriggen,CH,36
1996-12-01,Tanja Schneider,AT,5
1996-12-01,Hilde Gerg,DE,80
1996-12-01,Florence Masnada,FR,50
1996-12-01,Anita Wachter,AT,40
1996-12-01,Katja Seizinger,DE,45
1996-12-01,Warwara Zelenskaja,RU,60
1996-12-07,Sovrana Welf,IT,6
1996-12-07,Katharina Gutensohn,DE,42
1996-12-07,Tanja Schneider,AT,5
1996-12-07,Alenka Dovzan,SK,4
1996-12-07,Mojca Suhadolc,SK,3
1996-12-07,Alessandra Merlin,IT,2
1996-12-07,Regina Haeusl,DE,0
1996-12-07,Catherine Borghi,CH,5
1996-12-07,Sibylle Brauner,DE,18
1996-12-07,Eveline Rohregger,AT,0
1996-12-07,Merete Fjeldavlie,NO,0
1996-12-07,Trude Gimle,NO,0
1996-12-07,Patrizia Bassis,IT,0
1996-12-07,Anja Kalan,SK,0
1996-12-07,Barbara Merlin,IT,42
1996-12-07,Brigitte Obermoser,AT,1
1996-12-07,Miriam Vogt,DE,29
1996-12-07,Renate Goetschl,AT,14
1996-12-07,Kirsten L Clark,US,0
1996-12-07,Hilary Lindh,US,6
1996-12-07,Hilde Gerg,DE,130
1996-12-07,Megan Gerety,US,18
1996-12-07,Alexandra Meissnitzer,AT,27
1996-12-07,Regine Cavagnoud,FR,25
1996-12-07,Anita Wachter,AT,49
1996-12-07,Ingeborg H. Marken,NO,11
1996-12-07,Shannon Nobis,US,10
1996-12-07,Monika Tschirky,CH,1
1996-12-07,Spela Bracun,SK,23
1996-12-07,Carole Montillet,FR,60
1996-12-07,Heidi Zurbriggen,CH,48
1996-12-07,Pernilla Wiberg,SE,180
1996-12-07,Marianne Brechu,FR,29
1996-12-07,Isolde Kostner,IT,65
1996-12-07,Svetlana Gladishiva,RU,114
1996-12-07,Karen Putzer,IT,0
1996-12-07,Michaela Dorfmeister,AT,15
1996-12-07,Kathleen Monahan,US,0
1996-12-07,Madlen Summermatter,CH,43
1996-12-07,Florence Masnada,FR,82
1996-12-07,Bibiana Perez,IT,30
1996-12-07,Katja Seizinger,DE,74
1996-12-07,Sylviane Berthod,CH,0
1996-12-07,Laetitia Dalloz,FR,33
1996-12-07,Warwara Zelenskaja,RU,100
1996-12-07,Martina Ertl,DE,58
1996-12-07,Stefanie Schuster,AT,39
1996-12-12,Katja Seizinger,DE,154
1996-12-12,Carole Montillet,FR,96
1996-12-12,Kirsten L Clark,US,0
1996-12-12,Madlen Summermatter,CH,55
1996-12-12,Bibiana Perez,IT,45
1996-12-12,Isolde Kostner,IT,125
1996-12-12,Karen Putzer,IT,0
1996-12-12,Pernilla Wiberg,SE,209
1996-12-12,Svetlana Gladishiva,RU,125
1996-12-12,Renate Goetschl,AT,64
1996-12-12,Merete Fjeldavlie,NO,1
1996-12-12,Sylviane Berthod,CH,0
1996-12-12,Spela Bracun,SK,27
1996-12-12,Warwara Zelenskaja,RU,132
1996-12-12,Miriam Vogt,DE,39
1996-12-12,Michaela Dorfmeister,AT,25
1996-12-12,Eveline Rohregger,AT,2
1996-12-12,Kathleen Monahan,US,0
1996-12-12,Hilary Lindh,US,13
1996-12-12,Shannon Nobis,US,18
1996-12-12,Anita Wachter,AT,62
1996-12-12,Patrizia Bassis,IT,0
1996-12-12,Marianne Brechu,FR,29
1996-12-12,Regine Cavagnoud,FR,45
1996-12-12,Heidi Zurbriggen,CH,70
1996-12-12,Ingeborg H. Marken,NO,11
1996-12-12,Sovrana Welf,IT,6
1996-12-12,Tanja Schneider,AT,5
1996-12-12,Alenka Dovzan,SK,4
1996-12-12,Regina Haeusl,DE,18
1996-12-12,Stefanie Schuster,AT,63
1996-12-12,Mojca Suhadolc,SK,3
1996-12-12,Anja Kalan,SK,0
1996-12-12,Alessandra Merlin,IT,2
1996-12-12,Katharina Gutensohn,DE,45
1996-12-12,Laetitia Dalloz,FR,59
1996-12-12,Trude Gimle,NO,0
1996-12-12,Alexandra Meissnitzer,AT,33
1996-12-12,Sibylle Brauner,DE,23
1996-12-12,Brigitte Obermoser,AT,1
1996-12-12,Monika Tschirky,CH,1
1996-12-12,Megan Gerety,US,32
1996-12-12,Hilde Gerg,DE,230
1996-12-12,Catherine Borghi,CH,5
1996-12-12,Florence Masnada,FR,122
1996-12-12,Barbara Merlin,IT,58
1996-12-12,Martina Ertl,DE,103
1997-01-12,Svetlana Gladishiva,RU,130
1997-01-12,Spela Bracun,SK,31
1997-01-12,Barbara Merlin,IT,58
1997-01-12,Kathleen Monahan,US,0
1997-01-12,Miriam Vogt,DE,39
1997-01-12,Laetitia Dalloz,FR,59
1997-01-12,Alessandra Merlin,IT,2
1997-01-12,Sylviane Berthod,CH,0
1997-01-12,Karen Putzer,IT,0
1997-01-12,Anita Wachter,AT,62
1997-01-12,Kirsten L Clark,US,0
1997-01-12,Monika Tschirky,CH,1
1997-01-12,Brigitte Obermoser,AT,2
1997-01-12,Anja Kalan,SK,1
1997-01-12,Shannon Nobis,US,18
1997-01-12,Katja Seizinger,DE,214
1997-01-12,Alenka Dovzan,SK,4
1997-01-12,Isolde Kostner,IT,205
1997-01-12,Tanja Schneider,AT,5
1997-01-12,Sovrana Welf,IT,6
1997-01-12,Pernilla Wiberg,SE,309
1997-01-12,Marianne Brechu,FR,32
1997-01-12,Eveline Rohregger,AT,4
1997-01-12,Megan Gerety,US,32
1997-01-12,Carole Montillet,FR,120
1997-01-12,Trude Gimle,NO,12
1997-01-12,Madlen Summermatter,CH,69
1997-01-12,Michaela Dorfmeister,AT,41
1997-01-12,Martina Ertl,DE,148
1997-01-12,Sibylle Brauner,DE,34
1997-01-12,Renate Goetschl,AT,82
1997-01-12,Warwara Zelenskaja,RU,152
1997-01-12,Mojca Suhadolc,SK,25
1997-01-12,Stefanie Schuster,AT,73
1997-01-12,Florence Masnada,FR,131
1997-01-12,Catherine Borghi,CH,31
1997-01-12,Regine Cavagnoud,FR,45
1997-01-12,Merete Fjeldavlie,NO,14
1997-01-12,Hilary Lindh,US,21
1997-01-12,Regina Haeusl,DE,54
1997-01-12,Patrizia Bassis,IT,6
1997-01-12,Bibiana Perez,IT,52
1997-01-12,Hilde Gerg,DE,280
1997-01-12,Alexandra Meissnitzer,AT,65
1997-01-12,Ingeborg H. Marken,NO,26
1997-01-12,Heidi Zurbriggen,CH,99
1997-01-12,Katharina Gutensohn,DE,85
1997-01-25,Stefanie Schuster,AT,97
1997-01-25,Hilary Lindh,US,35
1997-01-25,Megan Gerety,US,32
1997-01-25,Alexandra Meissnitzer,AT,94
1997-01-25,Bibiana Perez,IT,68
1997-01-25,Barbara Merlin,IT,94
1997-01-25,Anita Wachter,AT,77
