date,name,ath_country,value,specialty
2014-11-30,Kjetil Jansrud,NO,100,Downhill
2014-11-30,Andrej Sporn,SK,0,Combined
2014-11-30,Jan Hudec,CA,29,Super G
2014-11-30,Maxence Muzaton,FR,0,Downhill
2014-11-30,Johan Clarey,FR,32,Downhill
2014-11-30,Adam Zampa,SK,0,Slalom
2014-11-30,Patrick Kueng,CH,26,Downhill
2014-11-30,Victor Muffat Jeandet,FR,0,Giant Slalom
2014-11-30,Aleksander Aamodt Kilde,NO,22,Super G
2014-11-30,Justin Murisier,CH,0,Giant Slalom
2014-11-30,Didier Defago,CH,24,Downhill
2014-11-30,Martin Vrablik,CZ,0,Combined
2014-11-30,Manuel Osborne-Paradis,CA,36,Downhill
2014-11-30,Ondrej Berndt,CZ,0,Combined
2014-11-30,Romed Baumann,AT,18,Downhill
2014-11-30,Philip Brown,CA,0,Giant Slalom
2014-11-30,Mauro Caviezel,CH,0,Super G
2014-11-30,Yuri Danilochkin,BY,0,Combined
2014-11-30,Andrew Weibrecht,US,11,Super G
2014-11-30,Valentin Giraud Moine,FR,0,Combined
2014-11-30,Wiley Maple,US,0,Downhill
2014-11-30,Matteo De Vettori,IT,0,Combined
2014-11-30,Max Franz,AT,45,Downhill
2014-11-30,Ami Oreiller,CH,0,Combined
2014-11-30,Marcel Hirscher,AT,0,Giant Slalom
2014-11-30,Carlo Janka,CH,7,Downhill
2014-11-30,Thomas Dressen,DE,0,Combined
2014-11-30,Sam Robertson,AU,0,Combined
2014-11-30,Peter Fill,IT,16,Downhill
2014-11-30,Christoffer Faarup,DK,0,Combined
2014-11-30,Arnaud Alessandria,MC,0,Combined
2014-11-30,Travis Ganong,US,10,Downhill
2014-11-30,Ola Buer Johansen,NO,0,Combined
2014-11-30,Pavel Trikhichev,RU,0,Slalom
2014-11-30,Tim Jitloff,US,0,Giant Slalom
2014-11-30,Marc Berthod,CH,0,Downhill
2014-11-30,Jared Goldberg,US,6,Downhill
2014-11-30,Ralph Weber,CH,0,Downhill
2014-11-30,Andreas Sander,DE,4,Downhill
2014-11-30,Fernando Schmed,CH,0,Super G
2014-11-30,Bostjan Kline,SK,0,Downhill
2014-11-30,Marco Sullivan,US,0,Downhill
2014-11-30,Markus Duerager,AT,0,Downhill
2014-11-30,Klaus Brandner,DE,0,Downhill
2014-11-30,Bjoernar Neteland,NO,0,Super G
2014-11-30,Werner Heel,IT,3,Downhill
2014-11-30,Guillermo Fayed,FR,0,Downhill
2014-11-30,Morgan Pridy,CA,14,Super G
2014-11-30,Othmar Striedinger,AT,50,Super G
2014-11-30,Nils Mani,CH,0,Super G
2014-11-30,Andreas Romar,FI,0,Combined
2014-11-30,Steven Nyman,US,2,Downhill
2014-11-30,Tobias Stechert,DE,0,Downhill
2014-11-30,Marvin Van Heek,NL,0,Combined
2014-11-30,Thomas Tumler,CH,0,Super G
2014-11-30,Andreas Zampa,SK,0,Combined
2014-11-30,Cristian Javier Simari Birkner,AR,0,Combined
2014-11-30,Martin Cater,SK,0,Combined
2014-11-30,Sandro Viletta,CH,8,Downhill
2014-11-30,Ted Ligety,US,0,Giant Slalom
