date,name,ath_country,value
1996-11-24,Thomas Sykora,AT,100
1996-11-24,Alois Vogl,DE,0
1996-11-24,Simone Vicquery,IT,0
1996-11-24,Yves Dimier,FR,22
1996-11-24,Johan Wallner,SE,0
1996-11-24,Matteo Belfrond,IT,0
1996-11-24,Manfred Kleinlercher,AT,0
1996-11-24,Kevin Page,FR,0
1996-11-24,Didier Plaschy,CH,0
1996-11-24,Joel Chenal,FR,0
1996-11-24,Andreas Ertl,DE,0
1996-11-24,Rene Mlekuz,SK,0
1996-11-24,Matej Jovan,SK,0
1996-11-24,Fabio De Crignis,IT,24
1996-11-24,Eric Rolland,FR,0
1996-11-24,Lasse Kjus,NO,0
1996-11-24,Leo Puentener,CH,0
1996-11-24,Drago Grubelnik,SK,0
1996-11-24,Stanley Hayer,CA,0
1996-11-24,Sergio Bergamelli,IT,0
1996-11-24,Harald Chr. Strand Nilsen,NO,0
1996-11-24,Jure Kosir,SK,26
1996-11-24,Giorgio Rocca,IT,0
1996-11-24,Sven Schnitzenbaumer,DE,0
1996-11-24,Finn Chr. Jagge,NO,29
1996-11-24,Kilian Albrecht,AT,0
1996-11-24,Tom Stiansen,NO,32
1996-11-24,Thomas Grandi,CA,0
1996-11-24,Alberto Tomba,IT,0
1996-11-24,Andrea Zinsli,CH,14
1996-11-24,Michael von Gruenigen,CH,14
1996-11-24,Paul Accola,CH,14
1996-11-24,Fabrizio Tescari,IT,10
1996-11-24,Matthew Grosjean,US,9
1996-11-24,Siegfried Voglreiter,AT,15
1996-11-24,Guenther Mader,AT,8
1996-11-24,Mitja Kunc,SK,7
1996-11-24,Matjaz Vrhovnik,SK,6
1996-11-24,Matteo Nana,IT,16
1996-11-24,Pierrick Bourgeat,FR,5
1996-11-24,Heinz Schilchegger,AT,0
1996-11-24,Marc Girardelli,LU,4
1996-11-24,Gerhard Speiser,DE,3
1996-11-24,Sebastien Amiez,FR,0
1996-11-24,Martin Hansson,SE,0
1996-11-24,Francois Simond,FR,0
1996-11-24,Mika Marila,FI,0
1996-11-24,Andrej Miklavc,SK,0
1996-11-24,Mario Reiter,AT,20
1996-11-24,Konrad  Kurt Ladstaetter,IT,0
1996-11-24,Pierre Violon,FR,0
1996-11-24,Chip Knight,US,0
1996-11-24,Eric Villiard,CA,0
1996-11-24,Markus Eberle,DE,18
1996-11-24,Kiminobu Kimura,JP,36
1996-11-24,Gaku Hirasawa,JP,11
1996-11-24,Michael Tritscher,AT,40
