name,id,bd,competitor_id,photo,club,country
Katja Seizinger,205171,1972,55494,https://data.fis-ski.com/general/load-competitor-picture/55494.html,Ski Club Halblech,GER
Tatiana Blagouliak,485359,1984,5320,https://data.fis-ski.com/general/load-competitor-picture/5320.html,Dinamo Moscow,RUS
Elena Sandulli,6295334,14-01-2000,212774,https://data.fis-ski.com/general/load-competitor-picture/212774.html,GRUPPO SCIATORI FIAMME GIALLE,ITA
Laure Pequegnot,195249,1975,46918,https://data.fis-ski.com/general/load-competitor-picture/46918.html,S.C. Alpe d Huez,FRA
Michaela Smutna,155479,1987,79875,https://data.fis-ski.com/general/load-competitor-picture/79875.html,TJ Slovan Pec pod Snezkou,CZE
Kellie Casey,105019,1965,9113,https://data.fis-ski.com/general/load-competitor-picture/9113.html,,CAN
Adeline Teyssier,195224,1970,61135,https://data.fis-ski.com/general/load-competitor-picture/61135.html,,FRA
Tanja Poutiainen,185140,1980,48830,https://data.fis-ski.com/general/load-competitor-picture/48830.html,Santa Claus Ski Team,FIN
Foreste Peterson,539678,09-09-1993,145790,https://data.fis-ski.com/general/load-competitor-picture/145790.html,Team X Alpine,USA
Valerie Grenier,107613,30-10-1996,175637,https://data.fis-ski.com/general/load-competitor-picture/175637.html,Tremblant,CAN
Petra Zakourilova,155047,1978,67854,https://data.fis-ski.com/general/load-competitor-picture/67854.html,,CZE
Andrine Maarstoel,426285,27-05-1999,204902,https://data.fis-ski.com/general/load-competitor-picture/204902.html,Haugen Il,NOR
Veronika Tarasovicova,705044,1970,60721,https://data.fis-ski.com/general/load-competitor-picture/60721.html,,SVK
Claire Dautherives,196016,1982,12443,https://data.fis-ski.com/general/load-competitor-picture/12443.html, C.S. Val Cenis,FRA
Tanja Pieren,515166,1978,47831,https://data.fis-ski.com/general/load-competitor-picture/47831.html,Adelboden,SUI
Edith Miklos,465059,1988,94573,https://data.fis-ski.com/general/load-competitor-picture/94573.html,SC Micercurea Ciuc,ROU
Nika Fleiss,385027,1984,17479,https://data.fis-ski.com/general/load-competitor-picture/17479.html,SK Samobor,CRO
Ylva Staalnacke,506348,17-09-1992,137956,https://data.fis-ski.com/general/load-competitor-picture/137956.html,Kiruna Bk,SWE
