name,id,bd,competitor_id,photo,club,country
Zan Spilar,561364,23-08-1997,188427,https://data.fis-ski.com/general/load-competitor-picture/188427.html,SD Trbovlje,SLO
Matthias Bruegger,511947,1993,147735,https://data.fis-ski.com/general/load-competitor-picture/147735.html,Frutigen,SUI
Christoffer Faarup,170131,28-12-1992,139317,https://data.fis-ski.com/general/load-competitor-picture/139317.html,Hobro Skiclub-Lillehammer Skiclub,DEN
Takashi Shioiri,6300468,15-02-1998,195083,https://data.fis-ski.com/general/load-competitor-picture/195083.html,Hosei Unv.,JPN
Sebastien Pichot,191778,1981,47785,https://data.fis-ski.com/general/load-competitor-picture/47785.html,S.C. Les Arcs,FRA
Tim Luescher,511702,1990,117670,https://data.fis-ski.com/general/load-competitor-picture/117670.html,SAS Lausanne,SUI
Hannes Trinkl,50221,1968,187011,https://data.fis-ski.com/general/load-competitor-picture/187011.html,Oerebro Slf,SWE
Alex Zingerle,6290440,17-08-1992,141009,https://data.fis-ski.com/general/load-competitor-picture/141009.html,GRUPPO SCIATORI FIAMME GIALLE,ITA
Wade H Bishop,533087,1980,5130,https://data.fis-ski.com/general/load-competitor-picture/5130.html,Winter Park,USA
Yohan G. Goutt,960300,20-12-1994,187394,https://data.fis-ski.com/general/load-competitor-picture/187394.html,,TLS
Atle Skaardal,420182,1966,56863,https://data.fis-ski.com/general/load-competitor-picture/56863.html,,NOR
Jimmy Cochran,534040,1981,10612,https://data.fis-ski.com/general/load-competitor-picture/10612.html,Cochran Ski Club,USA
Alberto Ghidoni,290258,1962,20105,https://data.fis-ski.com/general/load-competitor-picture/20105.html,,ITA
Mathieu Razanakolona,940000,1986,109965,https://data.fis-ski.com/general/load-competitor-picture/109965.html,Razalpin,MAD
Brennan Rubie,934568,1991,125816,https://data.fis-ski.com/general/load-competitor-picture/125816.html,Snowbird Sports Ed Fnd,USA
Marc Rochat,511899,18-12-1992,138575,https://data.fis-ski.com/general/load-competitor-picture/138575.html,SAS Lausanne,SUI
Vitalij Rumiancev,780002,1985,64416,https://data.fis-ski.com/general/load-competitor-picture/64416.html,,LTU
Kjetil Jansrud,421483,28-08-1985,27657,https://data.fis-ski.com/general/load-competitor-picture/27657.html,Peer Gynt Alpinklubb,NOR
Juho Handolin,180808,24-12-1997,189408,https://data.fis-ski.com/general/load-competitor-picture/189408.html,Hyvinkaan Slalomseura sukkula,FIN
Fabian Himmelsbach,202908,15-06-1999,203187,https://data.fis-ski.com/general/load-competitor-picture/203187.html,SC Sonthofen,GER
Matts Olsson,501324,01-12-1988,96954,https://data.fis-ski.com/general/load-competitor-picture/96954.html,Valfjällets SLK,SWE
Nikolay Skriabin,690013,1978,57019,https://data.fis-ski.com/general/load-competitor-picture/57019.html,Latoritsa Ski Club,UKR
Stephane Tissot,191425,1979,61648,https://data.fis-ski.com/general/load-competitor-picture/61648.html,C.S. Megeve,FRA
Franz Heinzer,510109,1962,24206,https://data.fis-ski.com/general/load-competitor-picture/24206.html,,SUI
David Chodounsky,534508,1984,10054,https://data.fis-ski.com/general/load-competitor-picture/10054.html,Crested Butte Mtn Sports Team,USA
