date,name,ath_country,value,specialty
1980-12-09,Ingemar Stenmark,SE,25,Giant Slalom
1980-12-09,Piero Gros,IT,9,Slalom
1980-12-09,Helmuth Gstrein,AT,0,Slalom
1980-12-09,Stig Strand,SE,11,Slalom
1980-12-09,Andreas Wenzel,LI,0,Giant Slalom
1980-12-09,Roberto Grigis,IT,3,Slalom
1980-12-09,Peter Mally,IT,12,Slalom
1980-12-09,Klaus Heidegger,AT,0,Slalom
1980-12-09,Franz Gruber,AT,7,Slalom
1980-12-09,Christian Orlainsky,AT,5,Giant Slalom
1980-12-09,Bengt Fjaellberg,SE,0,Slalom
1980-12-09,Marc Girardelli,LU,2,Slalom
1980-12-09,Vladimir Andreev,RU,0,Slalom
1980-12-09,Paul Arne Skajem,NO,0,Giant Slalom
1980-12-09,Petar Popangelov,BG,0,Slalom
1980-12-09,Jarle Halsnes,NO,0,Giant Slalom
1980-12-09,Paolo De Chiesa,IT,10,Slalom
1980-12-09,Wolfram Ortner,AT,0,Giant Slalom
1980-12-09,Christian Neureuther,DE,0,Slalom
1980-12-09,Michel Canac,FR,0,Slalom
1980-12-09,Patrick Lamotte,FR,0,Slalom
1980-12-09,Joze Kuralt,SK,0,Giant Slalom
1980-12-09,Marco Tonazzi,IT,4,Slalom
1980-12-09,Toshihiro Kaiwa,JP,1,Slalom
1980-12-09,Kurt Gubser,CH,0,Slalom
1980-12-09,Didier Bouvet,FR,6,Slalom
1980-12-09,Franck Woerndl,DE,0,Slalom
1980-12-09,Florian Beck,DE,0,Slalom
1980-12-09,John Buxman,US,0,Slalom
1980-12-09,Hans Enn,AT,0,Giant Slalom
1980-12-09,Bruno Noeckler,IT,0,Giant Slalom
1980-12-09,Jacques Luethy,CH,0,Giant Slalom
1980-12-09,Lars Goeran Halvarsson,SE,0,Slalom
1980-12-09,Odd Sorli,NO,0,Giant Slalom
1980-12-09,Aleksandr Zhirov,RU,0,Giant Slalom
1980-12-09,Phil Mahre,US,0,Giant Slalom
1980-12-09,Joel Gaspoz,CH,8,Giant Slalom
1980-12-09,Steve Mahre,US,0,Slalom
1980-12-09,Bojan Krizaj,SK,15,Slalom
1980-12-09,Paul Frommelt,LI,20,Slalom
1981-01-11,Kurt Gubser,CH,0,Slalom
1981-01-11,Jarle Halsnes,NO,0,Giant Slalom
1981-01-11,Didier Bouvet,FR,6,Slalom
1981-01-11,Florian Beck,DE,1,Slalom
1981-01-11,Wolfram Ortner,AT,0,Giant Slalom
1981-01-11,Vladimir Andreev,RU,4,Slalom
1981-01-11,Christian Neureuther,DE,10,Slalom
1981-01-11,Franck Woerndl,DE,7,Slalom
1981-01-11,Ingemar Stenmark,SE,25,Giant Slalom
1981-01-11,Klaus Heidegger,AT,0,Slalom
1981-01-11,John Buxman,US,0,Slalom
1981-01-11,Marc Girardelli,LU,7,Slalom
