date,name,ath_country,value,specialty
1986-11-30,Richard Pramotton,IT,25,Giant Slalom
1986-11-30,Hubert Strolz,AT,20,Giant Slalom
1986-11-30,Marco Tonazzi,IT,0,Giant Slalom
1986-11-30,Bernhard Gstrein,AT,0,Slalom
1986-11-30,Felix McGrath,US,1,Slalom
1986-11-30,Michael Eder,DE,0,Giant Slalom
1986-11-30,Alberto Tomba,IT,0,Giant Slalom
1986-11-30,Robert Erlacher,IT,8,Giant Slalom
1986-11-30,Tomaz Cizman,SK,0,Giant Slalom
1986-11-30,Oswald Toetsch,IT,7,Giant Slalom
1986-11-30,Christian Gaidet,FR,0,Giant Slalom
1986-11-30,Hans Stuffer,DE,5,Super G
1986-11-30,Martin Hangl,CH,9,Giant Slalom
1986-11-30,Klemen Bergant,SK,2,Giant Slalom
1986-11-30,Markus Wasmeier,DE,0,Downhill
1986-11-30,Thomas Buergler,CH,0,Giant Slalom
1986-11-30,Andreas Wenzel,LI,0,Super G
1986-11-30,Ingemar Stenmark,SE,0,Slalom
1986-11-30,Ivano Camozzi,IT,10,Giant Slalom
1986-11-30,Rudolph Nierlich,AT,0,Giant Slalom
1986-11-30,Franck Woerndl,DE,0,Giant Slalom
1986-11-30,Hans Pieren,CH,6,Giant Slalom
1986-11-30,Josef Schick,DE,0,Giant Slalom
1986-11-30,Helmut Mayer,AT,0,Giant Slalom
1986-11-30,Guenther Mader,AT,0,Slalom
1986-11-30,Marc Girardelli,LU,0,Giant Slalom
1986-11-30,Hans Enn,AT,0,Giant Slalom
1986-11-30,Martin Knoeri,CH,11,Giant Slalom
1986-11-30,Frank Piccard,FR,4,Super G
1986-11-30,Rok Petrovic,SK,3,Slalom
1986-11-30,Joel Gaspoz,CH,12,Giant Slalom
1986-11-30,Walter Gugele,AT,0,Giant Slalom
1986-11-30,Guido Hinterseer,AT,0,Super G
1986-11-30,Pirmin Zurbriggen,CH,15,Downhill
1986-11-30,Joergen Sundqvist,SE,0,Giant Slalom
1986-11-30,Karl Thaler,AT,0,Giant Slalom
1986-11-30,Leonhard Stock,AT,0,Downhill
1986-11-30,Yves Tavernier,FR,0,Giant Slalom
1986-12-14,Martin Hangl,CH,9,Giant Slalom
1986-12-14,Andreas Wenzel,LI,0,Super G
1986-12-14,Markus Wasmeier,DE,1,Downhill
1986-12-14,Rok Petrovic,SK,3,Slalom
1986-12-14,Walter Gugele,AT,0,Giant Slalom
1986-12-14,Thomas Buergler,CH,0,Giant Slalom
1986-12-14,Ingemar Stenmark,SE,12,Slalom
1986-12-14,Hans Stuffer,DE,10,Super G
1986-12-14,Klemen Bergant,SK,2,Giant Slalom
1986-12-14,Ivano Camozzi,IT,10,Giant Slalom
1986-12-14,Karl Thaler,AT,0,Giant Slalom
1986-12-14,Yves Tavernier,FR,4,Giant Slalom
1986-12-14,Rudolph Nierlich,AT,0,Giant Slalom
1986-12-14,Franck Woerndl,DE,9,Giant Slalom
1986-12-14,Hans Pieren,CH,17,Giant Slalom
1986-12-14,Josef Schick,DE,2,Giant Slalom
1986-12-14,Richard Pramotton,IT,50,Giant Slalom
1986-12-14,Helmut Mayer,AT,0,Giant Slalom
1986-12-14,Frank Piccard,FR,4,Super G
1986-12-14,Joel Gaspoz,CH,12,Giant Slalom
1986-12-14,Joergen Sundqvist,SE,0,Giant Slalom
1986-12-14,Oswald Toetsch,IT,22,Giant Slalom
1986-12-14,Marc Girardelli,LU,0,Giant Slalom
1986-12-14,Marco Tonazzi,IT,3,Giant Slalom
1986-12-14,Guenther Mader,AT,0,Slalom
1986-12-14,Pirmin Zurbriggen,CH,15,Downhill
1986-12-14,Guido Hinterseer,AT,0,Super G
1986-12-14,Hubert Strolz,AT,20,Giant Slalom
1986-12-14,Felix McGrath,US,1,Slalom
1986-12-14,Alberto Tomba,IT,20,Giant Slalom
1986-12-14,Leonhard Stock,AT,0,Downhill
1986-12-14,Bernhard Gstrein,AT,7,Slalom
1986-12-14,Michael Eder,DE,7,Giant Slalom
1986-12-14,Christian Gaidet,FR,0,Giant Slalom
1986-12-14,Tomaz Cizman,SK,0,Giant Slalom
1986-12-14,Martin Knoeri,CH,11,Giant Slalom
1986-12-14,Hans Enn,AT,8,Giant Slalom
1986-12-14,Robert Erlacher,IT,18,Giant Slalom
1986-12-15,Hans Enn,AT,8,Giant Slalom
1986-12-15,Hans Stuffer,DE,10,Super G
1986-12-15,Martin Knoeri,CH,11,Giant Slalom
1986-12-15,Christian Gaidet,FR,0,Giant Slalom
1986-12-15,Joergen Sundqvist,SE,0,Giant Slalom
1986-12-15,Martin Hangl,CH,9,Giant Slalom
1986-12-15,Guenther Mader,AT,5,Slalom
1986-12-15,Hans Pieren,CH,17,Giant Slalom
1986-12-15,Marco Tonazzi,IT,3,Giant Slalom
1986-12-15,Bernhard Gstrein,AT,7,Slalom
1986-12-15,Michael Eder,DE,15,Giant Slalom
1986-12-15,Tomaz Cizman,SK,0,Giant Slalom
1986-12-15,Franck Woerndl,DE,9,Giant Slalom
1986-12-15,Rok Petrovic,SK,3,Slalom
1986-12-15,Frank Piccard,FR,4,Super G
1986-12-15,Leonhard Stock,AT,0,Downhill
1986-12-15,Klemen Bergant,SK,2,Giant Slalom
1986-12-15,Andreas Wenzel,LI,10,Super G
1986-12-15,Guido Hinterseer,AT,0,Super G
1986-12-15,Yves Tavernier,FR,5,Giant Slalom
1986-12-15,Ivano Camozzi,IT,10,Giant Slalom
1986-12-15,Karl Thaler,AT,0,Giant Slalom
1986-12-15,Helmut Mayer,AT,2,Giant Slalom
1986-12-15,Oswald Toetsch,IT,28,Giant Slalom
1986-12-15,Robert Erlacher,IT,22,Giant Slalom
1986-12-15,Alberto Tomba,IT,23,Giant Slalom
1986-12-15,Ingemar Stenmark,SE,21,Slalom
1986-12-15,Felix McGrath,US,1,Slalom
1986-12-15,Hubert Strolz,AT,31,Giant Slalom
1986-12-15,Thomas Buergler,CH,0,Giant Slalom
