date,name,ath_country,value,specialty
1982-03-28,Phil Mahre,US,25,Giant Slalom
1982-03-28,Ingemar Stenmark,SE,20,Slalom
1982-03-28,Hans Enn,AT,15,Giant Slalom
1982-03-28,Hubert Strolz,AT,12,Giant Slalom
1982-03-28,Jacques Luethy,CH,11,Giant Slalom
1982-03-28,Andreas Wenzel,LI,10,Combined
1982-03-28,Peter Wirnsberger,AT,9,Downhill
1982-03-28,Bojan Krizaj,SK,8,Slalom
1982-03-28,Christian Orlainsky,AT,7,Slalom
1982-03-28,Marc Girardelli,LU,6,Giant Slalom
1982-03-28,Paolo De Chiesa,IT,5,Slalom
1982-03-28,Gustav Oehrli,CH,4,Downhill
1982-03-28,Franz Heinzer,CH,3,Downhill
1982-03-28,Silvano Meli,CH,2,Downhill
1982-03-28,Franz Gruber,AT,1,Slalom
