date,name,ath_country,value,specialty
1982-12-19,Peter Mueller,CH,20,Downhill
1982-12-19,Gerard Rambaud,FR,0,Combined
1982-12-19,Peter Soltys,SK,0,Combined
1982-12-19,Bruno Kernen I,CH,0,Downhill
1982-12-19,Danilo Sbardellotto,IT,6,Downhill
1982-12-19,Hannes Spiss,AT,0,Combined
1982-12-19,Urs Raeber,CH,0,Downhill
1982-12-19,Antal Gotzy,HU,0,Combined
1982-12-19,Silvano Meli,CH,0,Downhill
1982-12-19,Mads Boedkner,DK,0,Combined
1982-12-19,Andreas Voelgyesi,HU,0,Combined
1982-12-19,Hubertus von Hohenlohe,MX,0,Combined
1982-12-19,Ivano Edalini,IT,0,Slalom
1982-12-19,Franck Woerndl,DE,0,Slalom
1982-12-19,Guido Hinterseer,AT,3,Combined
1982-12-19,Michel Canac,FR,0,Slalom
1982-12-19,Max Julen,CH,0,Giant Slalom
1982-12-19,Tristan Cochrane,US,2,Combined
1982-12-19,Ingemar Stenmark,SE,0,Giant Slalom
1982-12-19,Vladimir Andreev,RU,0,Slalom
1982-12-19,Andy Luhn,US,1,Combined
1982-12-19,Vladimir Makeev,RU,4,Downhill
1982-12-19,Bernard Fahner,CH,0,Combined
1982-12-19,Bojan Krizaj,SK,0,Slalom
1982-12-19,Martin Bell,GB,0,Combined
1982-12-19,Pirmin Zurbriggen,CH,10,Giant Slalom
1982-12-19,Peter Luescher,CH,15,Downhill
1982-12-19,Jacques Luethy,CH,0,Slalom
1982-12-19,Christian Orlainsky,AT,0,Slalom
1982-12-19,Steven Lee,AU,0,Combined
1982-12-22,Andreas Voelgyesi,HU,0,Combined
1982-12-22,Christian Orlainsky,AT,20,Slalom
1982-12-22,Steven Lee,AU,0,Combined
1982-12-22,Antal Gotzy,HU,0,Combined
1982-12-22,Max Julen,CH,3,Giant Slalom
1982-12-22,Silvano Meli,CH,0,Downhill
1982-12-22,Peter Luescher,CH,15,Downhill
1982-12-22,Michel Canac,FR,7,Slalom
1982-12-22,Mads Boedkner,DK,0,Combined
1982-12-22,Ivano Edalini,IT,5,Slalom
1982-12-22,Guido Hinterseer,AT,3,Combined
1982-12-22,Hubertus von Hohenlohe,MX,0,Combined
1982-12-22,Vladimir Makeev,RU,4,Downhill
1982-12-22,Ingemar Stenmark,SE,8,Giant Slalom
1982-12-22,Pirmin Zurbriggen,CH,10,Giant Slalom
1982-12-22,Franck Woerndl,DE,4,Slalom
1982-12-22,Urs Raeber,CH,0,Downhill
1982-12-22,Andy Luhn,US,1,Combined
1982-12-22,Peter Mueller,CH,20,Downhill
1982-12-22,Bernard Fahner,CH,0,Combined
1982-12-22,Jacques Luethy,CH,10,Slalom
1982-12-22,Hannes Spiss,AT,6,Combined
1982-12-22,Peter Soltys,SK,0,Combined
